id,subaccount,parent_account
611,Development-Phone Center,1057.0
729,RCGD-Aging Research,1057.0
567,SOE-Cshpe,1057.0
423,Coe Caen Service Center,1057.0
379,Michigan Journalism Fellows,1057.0
485,Off Acad Multicultural Init,1057.0
980,COE EECS - ECE - SSEL,1057.0
647,Pediatrics-Hematology/Oncology,1057.0
434,Int Med-Gastroenterology,1057.0
272,Dean'S Office-Dentistry,1057.0
885,SRC-Seh-Price,1057.0
530,Umtri-Osat Manufacturing,1057.0
486,Ctr For Res On Learn & Teach,1057.0
648,Pediatrics-Clinic,1057.0
981,COE EECS - ECE - WIMS - ERC,1057.0
716,Services For Students With Dis,1057.0
392,Coe Eecs-Ssel,1057.0
554,Umbs Erb Institute (Cemp),1057.0
879,Howard Hughes Medical Ins Spac,1057.0
428,Medical School Basic Sciences,1057.0
761,SRC-Other,1057.0
357,Vice Provost For The Arts,1057.0
852,Pediatrics-Pulmunary Medicine,1057.0
195,Botanical Gardens,1057.0
690,Student Legal Services,1057.0
519,Community Health Programs Dept,1057.0
363,Umtri-Human Factors,1057.0
525,Health Serv Research Initiativ,1057.0
426,Biomedical Research Core Facil,1057.0
921,UMH Geriatrics Center,1057.0
264,Biologic And Materials Science,1057.0
877,Student Activities (Fee Alloc),1057.0
560,Academic/Admin Support-Dentist,1057.0
1000,ROSS SCH Marketing,1057.0
722,ISR-Library,1057.0
678,SRC-Ds-Control Office,1057.0
858,SRC-Project Services,1057.0
740,SRC-Economic Behavior,1057.0
407,Coe Glmac,1057.0
696,President'S House Operations,1057.0
902,Coe Minority Eng Prog Off,1057.0
650,Psychiatry Child Services,1057.0
768,SRC-Seh-Vinokur,1057.0
1046,Campus-Wide Ctr for Entrepren,1057.0
812,Inst Org - Hospital,1057.0
953,Anthro-History,1057.0
458,M-Care,1057.0
340,Patient Services Dentistry,1057.0
791,Pop Plan & International Healt,1057.0
296,Michigan Union,1057.0
534,Periodontics-Dentistry,1057.0
372,ISR-Accounting,1057.0
985,LSA UG: Hlth. Science Scholars,1057.0
873,Affirmative Action Office,1057.0
260,Umbs Computing Services,1057.0
378,Grad Sch-Academy Of Sciences,1057.0
422,Coe Capital/Facilities,1057.0
334,Psychiatry Child Administratio,1057.0
785,Sch Of Info-Administration,1057.0
947,CoE Ctr for Entrepreneurship,1057.0
635,Construction & Arch Trades,1057.0
473,SON-(Div I) Division Of Acute,1057.0
324,Operative Dentistry,1057.0
937,MSA Immunology,1057.0
775,Substance Abuse Center,1057.0
1053,ROSS SCH Dev&Alum Rltns-Oprtns,1057.0
765,SRC-Organizational Behavior,1057.0
1043,IA-Women's Lacrosse,1057.0
927,SI Associate Dean Research,1057.0
742,SRC-Social-Envir Studies,1057.0
698,Development Research,1057.0
1020,IA-Women's Rowing,1057.0
904,Coe Eng Undergrad Admiss/Recru,1057.0
580,Treasurer'S Office,1057.0
409,Coe Eecs-Acal,1057.0
710,Michigan Union Ticket Office,1057.0
666,Cognitive Science&Mach Intelli,1057.0
828,Wuom/Michigan Radio,1057.0
215,COE EECS - CSE Division,1057.0
789,"Sch Of Info-Std Rec, Ret & Plc",1057.0
833,Coe Wu Manuf Research Center,1057.0
338,Radiology Department,1057.0
671,Intergroup Relations,1057.0
1044,IA-Compliance Services Office,1057.0
928,SI Associate Dean Prof Prgms,1057.0
766,SRC-Social Envir & Health,1057.0
810,Inst Org - Ann Arbor,1057.0
543,Law Develop & Alumni Relations,1057.0
994,CoE Office of Student Affairs,1057.0
499,Sch Of Info - Crew,1057.0
381,Michigan Society Of Fellows,1057.0
705,Student Organization Acct Serv,1057.0
1025,IA-Academic Success Program,1057.0
747,SRC-Summer Institute,1057.0
585,Office Of Assoc Vp For Finance,1057.0
134,LSA UG:  IDEA Institute,1057.0
909,Executive MBA,1057.0
634,Mntce Services Admin & Enginee,1057.0
472,SON-Academic Affairs,1057.0
823,Development Trusts & Bequests,1057.0
210,Computer Aided Engr Network,1057.0
779,Law Career Services,1057.0
328,Psych Msrb/Other,1057.0
661,Inst Org - Ann Arbor Auxiliary,1057.0
707,Student Wood Shop,1057.0
545,SON-(Div Iii) Division Of Nurs,1057.0
996,SON Development Office,1057.0
417,Coe Eecs-Its,1057.0
750,Global Change Program,1057.0
868,Predoctoral Studies-Dentistry,1057.0
912,East Asian Management Dev Ctr,1057.0
862,East Quad,1057.0
367,Umtri-Data Center,1057.0
411,Coe Eecs-Bio,1057.0
529,Umtri-Engineering Research,1057.0
349,Upress Edit Acquisitions,1057.0
682,SRC-Research Design & Devel,1057.0
844,Pediatrics-Wcgh,1057.0
673,SRC-Cmt-Cai Programming,1057.0
835,Coe Engineering Research Cente,1057.0
757,Div Of Research Devel & Admin,1057.0
595,Multi-Ethnic Student Affairs,1057.0
919,BUS SCH Corp Environ Mgt. Prgm,1057.0
801,Grad School - Faculty Research,1057.0
1035,IA-Women's Water Polo,1057.0
440,Laboratory Animal Medicine Uni,1057.0
558,Admin Services-Dentistry,1057.0
891,Observatories,1057.0
396,Coe Eng Undergrad Counseling,1057.0
602,Health Service Ancillary Servi,1057.0
613,Development Communications,1057.0
569,SOE-Education Specialists,1057.0
1009,IA-Dance Team,1057.0
451,Exec Vp For Medical Affairs,1057.0
676,SRC-Computing Administration,1057.0
838,Coe Claims Lab,1057.0
720,ISR-Mail Room,1057.0
269,Periodontics/Prevent & Geriati,1057.0
1042,IA-Ice Hockey,1057.0
926,AOSS CSEM,1057.0
764,SRC-Life Course Development,1057.0
562,Personnel Services - Dentistry,1057.0
724,ISR-Institute Sponsored,1057.0
1002,IA-Administration,1057.0
424,Coe Camp Caen,1057.0
875,Periodic Health Appraisal Unit,1057.0
262,Umbs Commerce Park,1057.0
837,Coe Ind/Univ Coop Research Cen,1057.0
675,SRC-Cmt-Unix,1057.0
351,Upress Marketing,1057.0
964,Ross Sch Paton Accounting Cntr,1057.0
469,South African Initiatives,1057.0
513,Graduate Admissions-Dentistry,1057.0
681,SRC-Dst Director'S Office,1057.0
348,University Press,1057.0
843,Co-Op Limnology & Ecosys Res,1057.0
799,Academic Outreach,1057.0
665,Inst Org - ICA,1057.0
827,Develop-Campaign For Michigan,1057.0
931,LSA Greek & Roman History Pgm,1057.0
274,Alumni Rel & Cont Dental Educ,1057.0
436,Coe Ctr Biomed Eng Research,1057.0
887,SRC-Studies Of Youth,1057.0
333,Administration-Dentistry,1057.0
289,Information Technology Divisio,1057.0
784,Continuing Legal Education Ins,1057.0
946,COE EECS - CSE - AI,1057.0
270,Educ Resources-Dentistry,1057.0
883,SRC-Health Program,1057.0
432,Int Med-Cardiology,1057.0
1024,IA-Men's Lacrosse,1057.0
746,SRC-Survey Methodology,1057.0
584,Debt Service Funds,1057.0
908,Tauber Manufactur Institute,1057.0
514,Registrar-Dentistry,1057.0
190,Museum of Anthropology,1057.0
352,Upress Administration,1057.0
965,Ross Sch Zell Lurie Institute,1057.0
777,Mich Memorial Phoenix Project,1057.0
326,Psych Substance Abuse,1057.0
821,Pop Studies-Research,1057.0
939,Graham Environ. Sustain. Inst.,1057.0
863,Stockwell Hall,1057.0
368,Umtri-Marine Systems,1057.0
412,Coe Eecs-Cspl,1057.0
954,COE EECS - CSE - SSRL,1057.0
792,Center For Population Planning,1057.0
503,National Music Camp,1057.0
297,Housing Administration,1057.0
459,Um Health Mntc Organization,1057.0
341,Adv Education Gen Dentistry,1057.0
498,Sch Of Info-Workshops,1057.0
704,Regents Expense,1057.0
209,Environmental Sciences & Engin,1057.0
380,Michigan Quarterly Review,1057.0
542,Law Student Services,1057.0
993,SI Associate Dean Prof of Acad,1057.0
783,Law General Administration,1057.0
945,COE EECS - CSE - RIF,1057.0
332,Academic Departments-Dentistry,1057.0
288,University Library,1057.0
564,SOE-Student Services,1057.0
1004,A-Men's Gymnastics,1057.0
726,RCGD-Aggression Research,1057.0
855,SRC-Data Services,1057.0
693,Gift Processing Services,1057.0
454,Um Hospital Operating,1057.0
292,Nichols Arboretum,1057.0
616,Audit Exp & Prof Fees,1057.0
655,Other Related Hospital Activit,1057.0
817,Pop Studies-Data Processing,1057.0
493,Pediatric Dentistry,1057.0
1032,IA-Women's Golf,1057.0
916,A. Alfred Taubman CA&UP Adm,1057.0
592,University Audits Office,1057.0
141,Science Learning Center,1057.0
754,Philological Research,1057.0
360,Umtri-Administration / Library,1057.0
973,Ross Sch NonProfit/Pub Mgt Ctr,1057.0
522,Upress Fullfillment & Cust Ser,1057.0
478,Sch Of Nursing-Grants,1057.0
961,LSA Political Science: MIW,1057.0
510,Minority Affairs-Dentistry,1057.0
628,Rental Properties,1057.0
466,Mich Diabetes Research Train C,1057.0
583,Assocvp Finance-Univ Support,1057.0
745,SRC-Amp,1057.0
1023,IA-Cheer Team,1057.0
298,Housing-Residence Education,1057.0
504,Marching/Athletic Bands,1057.0
793,Inst Environ & Industrial Heal,1057.0
955,COE EECS - CSE - RTCL,1057.0
342,Community Dentistry,1057.0
1017,GSA - Acute Care Surgery (ACS),1057.0
577,Zone Maintenance,1057.0
621,Plant Extension Office,1057.0
739,SRC-Misc Research Prgrms,1057.0
533,Um Hosp Plant Fin & Endow Act,1057.0
489,University Women'S Glee Club,1057.0
371,Isr-Director'S Office,1057.0
984,LSA UG: Mich Research Comm,1057.0
335,Psychiatry Adult Ambulatory,1057.0
830,Towsley Center Activities,1057.0
948,ROSS SCH Student Aid,1057.0
786,Sch Of Info-Special Initiative,1057.0
273,Dent Informatics,1057.0
886,SRC-Seh-Kaplan,1057.0
930,SNRE Office of Academic Progra,1057.0
435,Engr Graduate Education,1057.0
847,Pediatrics-Immunology/Rheumatl,1057.0
685,Community Service Learning,1057.0
714,Pierpont Commons,1057.0
390,Coe Eecs-Rtcl,1057.0
552,Umbs Doctoral Programs,1057.0
467,Fin Aid-Grants/Loans/Workstudy,1057.0
962,UMH CVC Development Fund,1057.0
511,Recruitment & Admissions-Dent,1057.0
629,Physical Properties Improvemen,1057.0
898,Coe Undergraduate Scholarships,1057.0
609,Devl Budget & Administration,1057.0
447,Pediatrics-Neurology,1057.0
780,Law Admissions,1057.0
942,COE EECS - ECE - Cspl,1057.0
903,Coe Eng Career Resource Center,1057.0
408,Coe Ncibrd,1057.0
697,Development Major Gifts Progra,1057.0
741,Co-Curr Prog:Trotter House,1057.0
859,Population Studies Center,1057.0
738,SRC-Directors Office,1057.0
1016,ROSS SCH Student Aid - BBA,1057.0
620,Staff Benefits,1057.0
576,Umbs Center For Intrn'L Bus Ed,1057.0
806,Law Academic Services,1057.0
644,Int Med-Molecular Med & Geneti,1057.0
482,Office Of Budget Administratio,1057.0
159,Language Resource Center,1057.0
654,Historical Ctr Heatlh Sciences,1057.0
492,Orthodontics-Dentistry,1057.0
816,Pop Studies - Administration,1057.0
203,Coe-Student Team Proj Cnt,1057.0
1015,IA-Baseball,1057.0
575,Umbs Bus Indust & Admin Div,1057.0
737,SRC- Administration,1057.0
393,Coe Eecs-Usl,1057.0
717,Ethics And Religion,1057.0
555,Umbs Wm. Davidson Inst.,1057.0
900,Coe Graduate Tuition Program,1057.0
694,Dev Network Services,1057.0
856,SRC-Ds-Ssl,1057.0
725,RCGD-Achievement Research,1057.0
1003,IA-Football,1057.0
563,SOE-Technology Services,1057.0
414,Coe Eecs-Dtm,1057.0
865,Observatory Lodge,1057.0
344,General Surgery Section,1057.0
795,Employment Transition Program,1057.0
957,GIEU Program,1057.0
506,Postgraduate Education-Dentist,1057.0
924,SNRE CILER,1057.0
429,Medical School Clinical Scienc,1057.0
267,Orthodontics/Pediatric Dentist,1057.0
762,SRC-Evolution & Human Adap,1057.0
570,SOE-Eric,1057.0
732,RCGD-Institutions & Policies,1057.0
688,Campus Information Centers,1057.0
1010,CoE Center for Health Eng,1057.0
804,Law Legal Practice,1057.0
642,Center For Clinc Invest & Ther,1057.0
598,Health Service General Operati,1057.0
480,"Ctr For Res On Ethn,Cult,&Hlth",1057.0
1038,UM Cardiovascular Center,1057.0
277,Sindecuse Dental Museum,1057.0
439,Int Med-Pulmonary/Critical Car,1057.0
321,Endodontics-Dentistry,1057.0
1050,ROSS SCH Leadership Initiative,1057.0
934,SNRE Corp Environ Mgmt Prgm,1057.0
772,Technology Management Office,1057.0
850,Pediatrics-Intensive Care,1057.0
968,Ross Sch East Asia GMBA,1057.0
193,Museum of Paleontology,1057.0
355,Cnt For Educational Improvemen,1057.0
517,SON-Nurse Managed Clinics,1057.0
391,Coe Eecs-Ssrl,1057.0
553,Umbs Tauber Man Institute,1057.0
715,Counseling Services,1057.0
223,Space Physics Research Lab,1057.0
674,SRC-Cmt-System Programming,1057.0
836,Coe Biomechanics,1057.0
798,Merit Network,1057.0
509,Financial Affairs-Dentistry,1057.0
842,Sea Grant Program,1057.0
347,Institute For Human Adjustment,1057.0
680,SRC-Ds-Unit Directors,1057.0
832,Center For Ergonomics,1057.0
788,Sch Of Info-Development,1057.0
670,Off Exec Vp & Chief Fin Office,1057.0
337,Psych Adult Ambulatory Program,1057.0
633,Special Plant Units,1057.0
589,Institute Of Fisheries (Space),1057.0
1029,IA-Men's Basketball,1057.0
471,SON-Student Affairs,1057.0
1005,IA-Men's Tennis,1057.0
565,SOE-Combined Program In Ed & P,1057.0
727,RCGD-Black Americans,1057.0
593,Mechanical Systems,1057.0
917,SNRE School Operations,1057.0
755,Biomolecular Recognition Progr,1057.0
1033,IA-Women's Gymnastics,1057.0
455,Um Hospital Capital,1057.0
293,Off Aprov Acad & Multict Affai,1057.0
950,SOM Assoc Dean Acad Affairs,1057.0
617,Initi On Alcohol & Other Drugs,1057.0
669,Staff Benefit To Budget Units,1057.0
713,Michigan Student Assembly,1057.0
551,Umbs Global Programs,1057.0
218,COE EECS - ECE  - USL,1057.0
373,ISR-Proposals & Contracts,1057.0
535,All Orgs (Org Security Only),1057.0
986,LSA UG GlobalScholarsProgram,1057.0
265,Prosthodontics,1057.0
427,Other Activities Medical Schoo,1057.0
760,SRC-Psid,1057.0
922,CoE EECS-WIMS ERC,1057.0
878,Treasurer'S Off-Univ Support,1057.0
582,Unrestricted Gifts,1057.0
1022,IA-Women's Track & Field,1057.0
744,SRC-Mtf,1057.0
679,SRC-Ds-National Field Group,1057.0
561,Computing-Dentistry,1057.0
1001,MICHR - Data Coordination,1057.0
723,ISR-Supplies,1057.0
712,Michigan Leadership Institute,1057.0
550,Umbs Off Of Tax Policy Rsrch,1057.0
217,COE EECS - ECE Division,1057.0
668,Staff Benefits Pool,1057.0
763,SRC-Family Demography,1057.0
925,LSA UG: Student Recruitment,1057.0
268,Oral Med/Path/Surgery,1057.0
1041,ROSS SCH Master of Management,1057.0
497,Sch Of Info-Faculty Search,1057.0
703,Secretary Of The University,1057.0
208,Engineering Administration,1057.0
541,Law Legal Profession Program,1057.0
659,Univ Musical Society,1057.0
992,SI Research & Administration,1057.0
1019,IA-Men's Track & Field,1057.0
579,Mason Trades Department,1057.0
461,Umbs Dean'S Office,1057.0
623,Construction Management,1057.0
664,Inst Org - Dearborn Auxiliary,1057.0
826,Inglis House,1057.0
701,Alumni Association - Camps,1057.0
819,Pop Studies-Library,1057.0
495,Sch Of Info-Student Services,1057.0
990,SI MSI Program,1057.0
657,University,1057.0
441,Kresge Hearing Research Inst,1057.0
397,Coe Eecs-Ese,1057.0
559,Financial Services - Dentistry,1057.0
603,Baits,1057.0
581,Execvp&Cfo-Univ Support,1057.0
743,ISR-Purchasing,1057.0
905,Coe Eng Undergrad Stdt Serv,1057.0
1021,IA-Softball,1057.0
699,Dev Rpts & Information,1057.0
989,Library Admin - Finance,1057.0
871,SOE-Joint Program In English &,1057.0
420,Coe Lurie Engineering Center,1057.0
376,Graduate School-Idps,1057.0
782,Law Information Technology,1057.0
449,Vascular Surgery Section,1057.0
331,Psychiatry M-Cdr,1057.0
944,COE EECS - ECE - OPT,1057.0
811,Inst Org - Flint Auxiliary,1057.0
1045,CoE Assoc Dean for Entrep Prog,1057.0
929,Institute of Gerontology,1057.0
767,SRC-Seh-House,1057.0
672,SRC-Comp & Multi-Media Tech,1057.0
339,Radiation Oncology - Foote,1057.0
834,Coe Automotive Research Center,1057.0
494,Kellogg Found Ins-Dent,1057.0
818,Pop Studies-Data Archive,1057.0
656,University of Michigan A.A.,1057.0
700,Alumni Association,1057.0
991,SI Doctoral Program,1057.0
496,Sch Of Info-School Wide Activi,1057.0
540,Law Research Faculty Activity,1057.0
658,Radrick Farms,1057.0
702,Off Vp University Relations,1057.0
975,Ross Sch Tauber Institute,1057.0
362,Umtri-Great Lakes Center Truck,1057.0
524,Off Assoc Prov Acad Affairs,1057.0
951,SOM Assoc Dean Grad Studies,1057.0
294,Admissions,1057.0
500,Officer Education Program,1057.0
456,Plant Extension - Hospital,1057.0
618,Benefits Office,1057.0
346,Plastic Surgery Section,1057.0
797,Univ. Library - Collections,1057.0
959,FSPP Undergrad Prog,1057.0
841,Coe Auto Lab,1057.0
508,Student Affairs-Dentistry,1057.0
958,FSPP Master's Programs,1057.0
345,Oral Surgery Section,1057.0
507,Community & Outreach Programs,1057.0
840,Coe Meam Gm,1057.0
796,Inst Of Labor & Industrial Rel,1057.0
574,Umbs Communications,1057.0
1014,CoE Masters Entrepreneurship,1057.0
736,RCGD-Values & Participation,1057.0
864,Community Center,1057.0
413,Coe Eecs-Con,1057.0
369,Reproductive Sciences Program,1057.0
475,SON-Community Partnerships,1057.0
637,Comp Study Of Soc Transformati,1057.0
970,Ross Sch MACC Prg,1057.0
263,Umbs Executive Education,1057.0
425,Coe Caen Alumni Net,1057.0
920,EECS-RIF,1057.0
876,Assoc Vp Bus Oper Business Off,1057.0
752,Center For Human Growth & Dev,1057.0
1030,IA-Wrestling,1057.0
914,ICPSR-Archival Development,1057.0
301,Athletics,1057.0
419,Coe Assoc Dean Academic Affair,1057.0
590,Non-Assignable Space,1057.0
692,Alumni Records Office,1057.0
854,SRC-Cmt-Data Management,1057.0
359,Transportation Research Inst.,1057.0
949,Palmer Commons,1057.0
831,Int Med-Hematology/Oncology,1057.0
336,Depression Center,1057.0
787,Sch Of Info-Info Techn Servi,1057.0
643,Int Med-Geriatric Medicine,1057.0
805,Law International Programs,1057.0
481,Office Of Budget & Planning,1057.0
1039,IA-Men's Swimming & Diving,1057.0
599,Health Service Education,1057.0
626,Assoc. V-P Business Operations,1057.0
464,Int Med-Hypertension,1057.0
330,Psych-Behavorial Medicine,1057.0
448,Thoracic Surgery Section,1057.0
781,Law Financial Aid,1057.0
943,COE EECS - ECE - Con,1057.0
899,Coe Research Support,1057.0
1011,"LSA Science, Tech and Society",1057.0
689,Student Organizations Programs,1057.0
733,RCGD-Media & Politics,1057.0
238,Int Med-Rheumatology,1057.0
571,Oral Biology-Dentistry,1057.0
532,Icpsr,1057.0
983,Facilities Maintenance Dept,1057.0
370,Institute For Social Research,1057.0
488,University Men'S Glee Clubs,1057.0
709,Major Events,1057.0
547,Umbs Document Processing,1057.0
880,Assoc Vice President Developme,1057.0
998,ROSS SCH BBA Program,1057.0
894,Comm On Comp Hist Res On Mkt E,1057.0
605,Law School Snack Bar,1057.0
399,Coe Eecs-Dco,1057.0
443,Pediatrics-Endocrinology,1057.0
663,Inst Org - Dearborn,1057.0
825,Development Legal Services,1057.0
952,SOM Assoc Dean Res & Comm Eng,1057.0
790,Sch Of Info-Acad Prgrms,1057.0
457,Michigan Health Corporation,1057.0
295,Michigan League,1057.0
619,Disability,1057.0
548,Umbs Paton Accounting Center,1057.0
430,Family Practice Department,1057.0
999,ROSS SCH Rsch/Inst Spprt Disc,1057.0
881,Rcgd - Rsrch Cntr For Grp Dyn,1057.0
653,Pediatric Surgery Section,1057.0
1049,Chemical Biology Program,1057.0
815,Univ. Unions - Reserves,1057.0
491,Oral Pathology-Dentistry,1057.0
848,Pediatrics-Infectious Diseases,1057.0
730,RCGD-Cps- Center For Political,1057.0
686,Assoc Vp & Dean Of Students,1057.0
997,COE EECS - CSE - ACAL,1057.0
384,Collegiate Inst For Values & S,1057.0
546,Umbs Facilities,1057.0
708,Office Of Greek Life,1057.0
604,Law Club,1057.0
398,Coe Eecs-Sse,1057.0
280,University Productions,1057.0
442,Pediatrics-General Services,1057.0
814,Unions-Student Awards,1057.0
490,Oral Diagnosis-Dentistry,1057.0
652,Radiation Oncology - Providenc,1057.0
1048,CoE Multidisciplinary Design,1057.0
325,Umbs Devel & Alumni Relations,1057.0
1054,LSA II: Weiser Europe/Eurasia,1057.0
820,Pop Studies-Publications,1057.0
938,MSA PIBS,1057.0
776,Lab. Animal Medicine-Serv. & F,1057.0
966,Ross Sch Doctoral Programs,1057.0
353,Upress Esl,1057.0
515,Umh Dental Surgery Clinic,1057.0
1006,IA-Women's Swimming & Diving,1057.0
728,RCGD-Communication/Education,1057.0
610,Devl Annual Giving Program,1057.0
566,SOE-Affiliates,1057.0
936,Medical Science Training Prog,1057.0
323,Occlusion Dentistry,1057.0
1052,ROSS SCH Mstr of Entreprenshp,1057.0
774,Ctr Statistical Consul & Res,1057.0
1028,IA-Men's Soccer,1057.0
588,Fiscal Operations Office,1057.0
632,Sch of Music Custodial Departm,1057.0
470,Grad Schl-Fellowship Prgm,1057.0
271,Oral Surgery Dentistry,1057.0
884,SRC-Quantitative Methods,1057.0
433,Int Med-Endocr & Metabol,1057.0
389,Coe Eecs-Rad,1057.0
695,Office Of Univ And Dev Events,1057.0
857,SRC-Ds-Survey Managers,1057.0
901,Coe Curr 2000/Undergrad Course,1057.0
870,SOE-Development/Alumni Relatio,1057.0
375,Culture And Cognition Program,1057.0
988,LSA OS: Barger Leadership Inst,1057.0
537,"Research,Computing,Facilities",1057.0
544,Law Facilities And Equipment,1057.0
995,Education Policy Initiative,1057.0
706,Student Theatre Arts Complex,1057.0
382,Program In American Institutio,1057.0
587,Office Of Space Analysis,1057.0
1027,Campus-Wide Ctr for Entrepren,1057.0
631,Office of the Plant Director,1057.0
749,Cognitive Neuroscience Program,1057.0
1031,IA-Field Hockey,1057.0
753,Institute Of Gerontology,1057.0
591,Office Of Student Publications,1057.0
915,Summer Language Institute,1057.0
302,Recreational Sports Dept,1057.0
140,Biological Station,1057.0
978,Life Sciences,1057.0
365,Umtri-Survey & Analysis,1057.0
860,Student Organizations,1057.0
527,Detriot Observatory,1057.0
972,Ross Sch Domestic Crops,1057.0
521,Upress Copyediting,1057.0
477,SON-Child/Adolescent Health Be,1057.0
639,Engineering College Relations,1057.0
974,Ross Sch PRISE,1057.0
479,SON-North Campus Clinic,1057.0
523,Asst Provost Budget & Planning,1057.0
361,Umtri-Biosciences,1057.0
967,Ross Sch Part-Tie MBA Program,1057.0
192,Kelsey Museum of Archaeology,1057.0
354,Upress Info Man & Digital Proj,1057.0
516,SON-Cercf-Center For Enhanceme,1057.0
756,Inst For Research Women & Gend,1057.0
1034,IA-Women's Tennis,1057.0
800,Graduate School Administration,1057.0
918,SNRE Ctr for Sustain Systems,1057.0
594,Human Resources & Aff Action,1057.0
476,SON-Cnr-Center For Nursing Res,1057.0
971,Ross Sch Supply Chain Mgmt,1057.0
520,Tuition Grant Program,1057.0
638,Mathematical Reviews,1057.0
940,CoE International Programs,1057.0
445,Pediatrics-Neonatal/Perinat Me,1057.0
607,Office Of Vp For Development,1057.0
896,Ctr Great Lakes & Aquatic Scs,1057.0
356,Sacua,1057.0
194,Museum of Zoology,1057.0
518,Public Health Policy And Admin,1057.0
851,Pediatrics-Biochem Gen & Met D,1057.0
400,Asia-American Studies,1057.0
969,Ross Sch Executive MBA Program,1057.0
578,Industrial Eng (Work Order),1057.0
622,Univ Architect/Planner Office,1057.0
1018,IA-Men's Golf,1057.0
824,Development Systems Services,1057.0
329,Psychiatry-Neuropsychology,1057.0
662,Inst Org - Flint,1057.0
1058,Ross Sch Erb Institute,1057.0
846,Pediatrics-Satellite/Er,1057.0
684,Office Of Vp Student Affairs,1057.0
866,ISR-Institute Administration,1057.0
253,Mental Health Research Institu,1057.0
910,LSA Human Resources,1057.0
596,International Center,1057.0
640,Center For Gene Therapy,1057.0
802,Law Visting Faculty,1057.0
758,Drda - Research Services,1057.0
1036,CoE Honors Program,1057.0
474,SON-(Div Ii) Division Of Healt,1057.0
636,Key Systems & Doors,1057.0
624,Facilities Planning & Design,1057.0
462,Psychiatry Admin-Central,1057.0
1012,IA-Women's Basketball,1057.0
734,RCGD-National Election Studies,1057.0
572,Umbs Student Services,1057.0
608,Assoc Vp Dev-Management & Admi,1057.0
284,Sch Of Public Health-Dean'S Of,1057.0
897,Osborn Preserve,1057.0
941,COE EECS - ECE - RIF,1057.0
