id,subaccount,parent_account,School_College
1449,ONSP 2020 Orientation,1301,ONSP 2020 Orientation
1303,Advisors 2020 Orientation,1301,Advisors 2020 Orientation
1474,Advisors 2023 Orientation,1301,Advisors 2023 Orientation
1462,Advisors 2022 Orientation,1301,Advisors 2022 Orientation
1463,ONSP 2022 Orientation,1301,ONSP 2022 Orientation
1447,ONSP 2021 Orientation,1301,ONSP 2021 Orientation
1426,Taubman Orientation Program,1303,Taubman Orientation Program
1310,Intergroup Relations (Branded),1309,Intergroup Relations (Branded)
1597,EPID Summer Session,286,EPID Summer Session
731,RCGD-Elections & Ethnicity,1057,RCGD-Elections & Ethnicity
687,Career Planning And Placement,1057,Career Planning And Placement
849,Pediatrics-Nephrology,1057,Pediatrics-Nephrology
839,Coe Meam Academic Services Off,1057,Coe Meam Academic Services Off
677,SRC-Ds-Production Sampling,1057,SRC-Ds-Production Sampling
721,ISR-Personnel,1057,ISR-Personnel
1007,IA-Women's Soccer,1057,IA-Women's Soccer
611,Development-Phone Center,1057,Development-Phone Center
729,RCGD-Aging Research,1057,RCGD-Aging Research
567,SOE-Cshpe,1057,SOE-Cshpe
423,Coe Caen Service Center,1057,Coe Caen Service Center
379,Michigan Journalism Fellows,1057,Michigan Journalism Fellows
485,Off Acad Multicultural Init,1057,Off Acad Multicultural Init
980,COE EECS - ECE - SSEL,1057,COE EECS - ECE - SSEL
647,Pediatrics-Hematology/Oncology,1057,Pediatrics-Hematology/Oncology
434,Int Med-Gastroenterology,1057,Int Med-Gastroenterology
272,Dean'S Office-Dentistry,1057,Dean'S Office-Dentistry
885,SRC-Seh-Price,1057,SRC-Seh-Price
530,Umtri-Osat Manufacturing,1057,Umtri-Osat Manufacturing
486,Ctr For Res On Learn & Teach,1057,Ctr For Res On Learn & Teach
648,Pediatrics-Clinic,1057,Pediatrics-Clinic
981,COE EECS - ECE - WIMS - ERC,1057,COE EECS - ECE - WIMS - ERC
716,Services For Students With Dis,1057,Services For Students With Dis
392,Coe Eecs-Ssel,1057,Coe Eecs-Ssel
554,Umbs Erb Institute (Cemp),1057,Umbs Erb Institute (Cemp)
879,Howard Hughes Medical Ins Spac,1057,Howard Hughes Medical Ins Spac
428,Medical School Basic Sciences,1057,Medical School Basic Sciences
761,SRC-Other,1057,SRC-Other
357,Vice Provost For The Arts,1057,Vice Provost For The Arts
852,Pediatrics-Pulmunary Medicine,1057,Pediatrics-Pulmunary Medicine
195,Botanical Gardens,1057,Botanical Gardens
690,Student Legal Services,1057,Student Legal Services
519,Community Health Programs Dept,1057,Community Health Programs Dept
363,Umtri-Human Factors,1057,Umtri-Human Factors
525,Health Serv Research Initiativ,1057,Health Serv Research Initiativ
426,Biomedical Research Core Facil,1057,Biomedical Research Core Facil
921,UMH Geriatrics Center,1057,UMH Geriatrics Center
264,Biologic And Materials Science,1057,Biologic And Materials Science
877,Student Activities (Fee Alloc),1057,Student Activities (Fee Alloc)
560,Academic/Admin Support-Dentist,1057,Academic/Admin Support-Dentist
1000,ROSS SCH Marketing,1057,ROSS SCH Marketing
722,ISR-Library,1057,ISR-Library
678,SRC-Ds-Control Office,1057,SRC-Ds-Control Office
858,SRC-Project Services,1057,SRC-Project Services
740,SRC-Economic Behavior,1057,SRC-Economic Behavior
407,Coe Glmac,1057,Coe Glmac
696,President'S House Operations,1057,President'S House Operations
902,Coe Minority Eng Prog Off,1057,Coe Minority Eng Prog Off
650,Psychiatry Child Services,1057,Psychiatry Child Services
768,SRC-Seh-Vinokur,1057,SRC-Seh-Vinokur
1046,Campus-Wide Ctr for Entrepren,1057,Campus-Wide Ctr for Entrepren
812,Inst Org - Hospital,1057,Inst Org - Hospital
953,Anthro-History,1057,Anthro-History
458,M-Care,1057,M-Care
340,Patient Services Dentistry,1057,Patient Services Dentistry
791,Pop Plan & International Healt,1057,Pop Plan & International Healt
296,Michigan Union,1057,Michigan Union
534,Periodontics-Dentistry,1057,Periodontics-Dentistry
372,ISR-Accounting,1057,ISR-Accounting
985,LSA UG: Hlth. Science Scholars,1057,LSA UG: Hlth. Science Scholars
873,Affirmative Action Office,1057,Affirmative Action Office
260,Umbs Computing Services,1057,Umbs Computing Services
378,Grad Sch-Academy Of Sciences,1057,Grad Sch-Academy Of Sciences
422,Coe Capital/Facilities,1057,Coe Capital/Facilities
334,Psychiatry Child Administratio,1057,Psychiatry Child Administratio
785,Sch Of Info-Administration,1057,Sch Of Info-Administration
947,CoE Ctr for Entrepreneurship,1057,CoE Ctr for Entrepreneurship
635,Construction & Arch Trades,1057,Construction & Arch Trades
473,SON-(Div I) Division Of Acute,1057,SON-(Div I) Division Of Acute
324,Operative Dentistry,1057,Operative Dentistry
937,MSA Immunology,1057,MSA Immunology
775,Substance Abuse Center,1057,Substance Abuse Center
1053,ROSS SCH Dev&Alum Rltns-Oprtns,1057,ROSS SCH Dev&Alum Rltns-Oprtns
765,SRC-Organizational Behavior,1057,SRC-Organizational Behavior
1043,IA-Women's Lacrosse,1057,IA-Women's Lacrosse
927,SI Associate Dean Research,1057,SI Associate Dean Research
742,SRC-Social-Envir Studies,1057,SRC-Social-Envir Studies
698,Development Research,1057,Development Research
1020,IA-Women's Rowing,1057,IA-Women's Rowing
904,Coe Eng Undergrad Admiss/Recru,1057,Coe Eng Undergrad Admiss/Recru
580,Treasurer'S Office,1057,Treasurer'S Office
409,Coe Eecs-Acal,1057,Coe Eecs-Acal
710,Michigan Union Ticket Office,1057,Michigan Union Ticket Office
666,Cognitive Science&Mach Intelli,1057,Cognitive Science&Mach Intelli
828,Wuom/Michigan Radio,1057,Wuom/Michigan Radio
215,COE EECS - CSE Division,1057,COE EECS - CSE Division
789,"Sch Of Info-Std Rec, Ret & Plc",1057,"Sch Of Info-Std Rec, Ret & Plc"
833,Coe Wu Manuf Research Center,1057,Coe Wu Manuf Research Center
338,Radiology Department,1057,Radiology Department
671,Intergroup Relations,1057,Intergroup Relations
1044,IA-Compliance Services Office,1057,IA-Compliance Services Office
928,SI Associate Dean Prof Prgms,1057,SI Associate Dean Prof Prgms
766,SRC-Social Envir & Health,1057,SRC-Social Envir & Health
810,Inst Org - Ann Arbor,1057,Inst Org - Ann Arbor
543,Law Develop & Alumni Relations,1057,Law Develop & Alumni Relations
994,CoE Office of Student Affairs,1057,CoE Office of Student Affairs
499,Sch Of Info - Crew,1057,Sch Of Info - Crew
381,Michigan Society Of Fellows,1057,Michigan Society Of Fellows
705,Student Organization Acct Serv,1057,Student Organization Acct Serv
1025,IA-Academic Success Program,1057,IA-Academic Success Program
747,SRC-Summer Institute,1057,SRC-Summer Institute
585,Office Of Assoc Vp For Finance,1057,Office Of Assoc Vp For Finance
134,LSA UG:  IDEA Institute,1057,LSA UG:  IDEA Institute
909,Executive MBA,1057,Executive MBA
634,Mntce Services Admin & Enginee,1057,Mntce Services Admin & Enginee
472,SON-Academic Affairs,1057,SON-Academic Affairs
823,Development Trusts & Bequests,1057,Development Trusts & Bequests
210,Computer Aided Engr Network,1057,Computer Aided Engr Network
779,Law Career Services,1057,Law Career Services
328,Psych Msrb/Other,1057,Psych Msrb/Other
661,Inst Org - Ann Arbor Auxiliary,1057,Inst Org - Ann Arbor Auxiliary
707,Student Wood Shop,1057,Student Wood Shop
545,SON-(Div Iii) Division Of Nurs,1057,SON-(Div Iii) Division Of Nurs
996,SON Development Office,1057,SON Development Office
417,Coe Eecs-Its,1057,Coe Eecs-Its
750,Global Change Program,1057,Global Change Program
868,Predoctoral Studies-Dentistry,1057,Predoctoral Studies-Dentistry
912,East Asian Management Dev Ctr,1057,East Asian Management Dev Ctr
862,East Quad,1057,East Quad
367,Umtri-Data Center,1057,Umtri-Data Center
411,Coe Eecs-Bio,1057,Coe Eecs-Bio
529,Umtri-Engineering Research,1057,Umtri-Engineering Research
349,Upress Edit Acquisitions,1057,Upress Edit Acquisitions
682,SRC-Research Design & Devel,1057,SRC-Research Design & Devel
844,Pediatrics-Wcgh,1057,Pediatrics-Wcgh
673,SRC-Cmt-Cai Programming,1057,SRC-Cmt-Cai Programming
835,Coe Engineering Research Cente,1057,Coe Engineering Research Cente
757,Div Of Research Devel & Admin,1057,Div Of Research Devel & Admin
595,Multi-Ethnic Student Affairs,1057,Multi-Ethnic Student Affairs
919,BUS SCH Corp Environ Mgt. Prgm,1057,BUS SCH Corp Environ Mgt. Prgm
801,Grad School - Faculty Research,1057,Grad School - Faculty Research
1035,IA-Women's Water Polo,1057,IA-Women's Water Polo
440,Laboratory Animal Medicine Uni,1057,Laboratory Animal Medicine Uni
558,Admin Services-Dentistry,1057,Admin Services-Dentistry
891,Observatories,1057,Observatories
396,Coe Eng Undergrad Counseling,1057,Coe Eng Undergrad Counseling
602,Health Service Ancillary Servi,1057,Health Service Ancillary Servi
613,Development Communications,1057,Development Communications
569,SOE-Education Specialists,1057,SOE-Education Specialists
1009,IA-Dance Team,1057,IA-Dance Team
451,Exec Vp For Medical Affairs,1057,Exec Vp For Medical Affairs
676,SRC-Computing Administration,1057,SRC-Computing Administration
838,Coe Claims Lab,1057,Coe Claims Lab
720,ISR-Mail Room,1057,ISR-Mail Room
269,Periodontics/Prevent & Geriati,1057,Periodontics/Prevent & Geriati
1042,IA-Ice Hockey,1057,IA-Ice Hockey
926,AOSS CSEM,1057,AOSS CSEM
764,SRC-Life Course Development,1057,SRC-Life Course Development
562,Personnel Services - Dentistry,1057,Personnel Services - Dentistry
724,ISR-Institute Sponsored,1057,ISR-Institute Sponsored
1002,IA-Administration,1057,IA-Administration
424,Coe Camp Caen,1057,Coe Camp Caen
875,Periodic Health Appraisal Unit,1057,Periodic Health Appraisal Unit
262,Umbs Commerce Park,1057,Umbs Commerce Park
837,Coe Ind/Univ Coop Research Cen,1057,Coe Ind/Univ Coop Research Cen
675,SRC-Cmt-Unix,1057,SRC-Cmt-Unix
351,Upress Marketing,1057,Upress Marketing
964,Ross Sch Paton Accounting Cntr,1057,Ross Sch Paton Accounting Cntr
469,South African Initiatives,1057,South African Initiatives
513,Graduate Admissions-Dentistry,1057,Graduate Admissions-Dentistry
681,SRC-Dst Director'S Office,1057,SRC-Dst Director'S Office
348,University Press,1057,University Press
843,Co-Op Limnology & Ecosys Res,1057,Co-Op Limnology & Ecosys Res
799,Academic Outreach,1057,Academic Outreach
665,Inst Org - ICA,1057,Inst Org - ICA
827,Develop-Campaign For Michigan,1057,Develop-Campaign For Michigan
931,LSA Greek & Roman History Pgm,1057,LSA Greek & Roman History Pgm
274,Alumni Rel & Cont Dental Educ,1057,Alumni Rel & Cont Dental Educ
436,Coe Ctr Biomed Eng Research,1057,Coe Ctr Biomed Eng Research
887,SRC-Studies Of Youth,1057,SRC-Studies Of Youth
333,Administration-Dentistry,1057,Administration-Dentistry
289,Information Technology Divisio,1057,Information Technology Divisio
784,Continuing Legal Education Ins,1057,Continuing Legal Education Ins
946,COE EECS - CSE - AI,1057,COE EECS - CSE - AI
270,Educ Resources-Dentistry,1057,Educ Resources-Dentistry
883,SRC-Health Program,1057,SRC-Health Program
432,Int Med-Cardiology,1057,Int Med-Cardiology
1024,IA-Men's Lacrosse,1057,IA-Men's Lacrosse
746,SRC-Survey Methodology,1057,SRC-Survey Methodology
584,Debt Service Funds,1057,Debt Service Funds
908,Tauber Manufactur Institute,1057,Tauber Manufactur Institute
514,Registrar-Dentistry,1057,Registrar-Dentistry
190,Museum of Anthropology,1057,Museum of Anthropology
352,Upress Administration,1057,Upress Administration
965,Ross Sch Zell Lurie Institute,1057,Ross Sch Zell Lurie Institute
777,Mich Memorial Phoenix Project,1057,Mich Memorial Phoenix Project
326,Psych Substance Abuse,1057,Psych Substance Abuse
821,Pop Studies-Research,1057,Pop Studies-Research
939,Graham Environ. Sustain. Inst.,1057,Graham Environ. Sustain. Inst.
863,Stockwell Hall,1057,Stockwell Hall
368,Umtri-Marine Systems,1057,Umtri-Marine Systems
412,Coe Eecs-Cspl,1057,Coe Eecs-Cspl
954,COE EECS - CSE - SSRL,1057,COE EECS - CSE - SSRL
792,Center For Population Planning,1057,Center For Population Planning
503,National Music Camp,1057,National Music Camp
297,Housing Administration,1057,Housing Administration
459,Um Health Mntc Organization,1057,Um Health Mntc Organization
341,Adv Education Gen Dentistry,1057,Adv Education Gen Dentistry
498,Sch Of Info-Workshops,1057,Sch Of Info-Workshops
704,Regents Expense,1057,Regents Expense
209,Environmental Sciences & Engin,1057,Environmental Sciences & Engin
380,Michigan Quarterly Review,1057,Michigan Quarterly Review
542,Law Student Services,1057,Law Student Services
993,SI Associate Dean Prof of Acad,1057,SI Associate Dean Prof of Acad
783,Law General Administration,1057,Law General Administration
945,COE EECS - CSE - RIF,1057,COE EECS - CSE - RIF
332,Academic Departments-Dentistry,1057,Academic Departments-Dentistry
288,University Library,1057,University Library
564,SOE-Student Services,1057,SOE-Student Services
1004,A-Men's Gymnastics,1057,A-Men's Gymnastics
726,RCGD-Aggression Research,1057,RCGD-Aggression Research
855,SRC-Data Services,1057,SRC-Data Services
693,Gift Processing Services,1057,Gift Processing Services
454,Um Hospital Operating,1057,Um Hospital Operating
292,Nichols Arboretum,1057,Nichols Arboretum
616,Audit Exp & Prof Fees,1057,Audit Exp & Prof Fees
655,Other Related Hospital Activit,1057,Other Related Hospital Activit
817,Pop Studies-Data Processing,1057,Pop Studies-Data Processing
493,Pediatric Dentistry,1057,Pediatric Dentistry
1032,IA-Women's Golf,1057,IA-Women's Golf
916,A. Alfred Taubman CA&UP Adm,1057,A. Alfred Taubman CA&UP Adm
592,University Audits Office,1057,University Audits Office
141,Science Learning Center,1057,Science Learning Center
754,Philological Research,1057,Philological Research
360,Umtri-Administration / Library,1057,Umtri-Administration / Library
973,Ross Sch NonProfit/Pub Mgt Ctr,1057,Ross Sch NonProfit/Pub Mgt Ctr
522,Upress Fullfillment & Cust Ser,1057,Upress Fullfillment & Cust Ser
478,Sch Of Nursing-Grants,1057,Sch Of Nursing-Grants
961,LSA Political Science: MIW,1057,LSA Political Science: MIW
510,Minority Affairs-Dentistry,1057,Minority Affairs-Dentistry
628,Rental Properties,1057,Rental Properties
466,Mich Diabetes Research Train C,1057,Mich Diabetes Research Train C
583,Assocvp Finance-Univ Support,1057,Assocvp Finance-Univ Support
745,SRC-Amp,1057,SRC-Amp
1023,IA-Cheer Team,1057,IA-Cheer Team
298,Housing-Residence Education,1057,Housing-Residence Education
504,Marching/Athletic Bands,1057,Marching/Athletic Bands
793,Inst Environ & Industrial Heal,1057,Inst Environ & Industrial Heal
955,COE EECS - CSE - RTCL,1057,COE EECS - CSE - RTCL
342,Community Dentistry,1057,Community Dentistry
1017,GSA - Acute Care Surgery (ACS),1057,GSA - Acute Care Surgery (ACS)
577,Zone Maintenance,1057,Zone Maintenance
621,Plant Extension Office,1057,Plant Extension Office
739,SRC-Misc Research Prgrms,1057,SRC-Misc Research Prgrms
533,Um Hosp Plant Fin & Endow Act,1057,Um Hosp Plant Fin & Endow Act
489,University Women'S Glee Club,1057,University Women'S Glee Club
371,Isr-Director'S Office,1057,Isr-Director'S Office
984,LSA UG: Mich Research Comm,1057,LSA UG: Mich Research Comm
335,Psychiatry Adult Ambulatory,1057,Psychiatry Adult Ambulatory
830,Towsley Center Activities,1057,Towsley Center Activities
948,ROSS SCH Student Aid,1057,ROSS SCH Student Aid
786,Sch Of Info-Special Initiative,1057,Sch Of Info-Special Initiative
273,Dent Informatics,1057,Dent Informatics
886,SRC-Seh-Kaplan,1057,SRC-Seh-Kaplan
930,SNRE Office of Academic Progra,1057,SNRE Office of Academic Progra
435,Engr Graduate Education,1057,Engr Graduate Education
847,Pediatrics-Immunology/Rheumatl,1057,Pediatrics-Immunology/Rheumatl
685,Community Service Learning,1057,Community Service Learning
714,Pierpont Commons,1057,Pierpont Commons
390,Coe Eecs-Rtcl,1057,Coe Eecs-Rtcl
552,Umbs Doctoral Programs,1057,Umbs Doctoral Programs
467,Fin Aid-Grants/Loans/Workstudy,1057,Fin Aid-Grants/Loans/Workstudy
962,UMH CVC Development Fund,1057,UMH CVC Development Fund
511,Recruitment & Admissions-Dent,1057,Recruitment & Admissions-Dent
629,Physical Properties Improvemen,1057,Physical Properties Improvemen
898,Coe Undergraduate Scholarships,1057,Coe Undergraduate Scholarships
609,Devl Budget & Administration,1057,Devl Budget & Administration
447,Pediatrics-Neurology,1057,Pediatrics-Neurology
780,Law Admissions,1057,Law Admissions
942,COE EECS - ECE - Cspl,1057,COE EECS - ECE - Cspl
903,Coe Eng Career Resource Center,1057,Coe Eng Career Resource Center
408,Coe Ncibrd,1057,Coe Ncibrd
697,Development Major Gifts Progra,1057,Development Major Gifts Progra
741,Co-Curr Prog:Trotter House,1057,Co-Curr Prog:Trotter House
859,Population Studies Center,1057,Population Studies Center
738,SRC-Directors Office,1057,SRC-Directors Office
1016,ROSS SCH Student Aid - BBA,1057,ROSS SCH Student Aid - BBA
620,Staff Benefits,1057,Staff Benefits
576,Umbs Center For Intrn'L Bus Ed,1057,Umbs Center For Intrn'L Bus Ed
806,Law Academic Services,1057,Law Academic Services
644,Int Med-Molecular Med & Geneti,1057,Int Med-Molecular Med & Geneti
482,Office Of Budget Administratio,1057,Office Of Budget Administratio
159,Language Resource Center,1057,Language Resource Center
654,Historical Ctr Heatlh Sciences,1057,Historical Ctr Heatlh Sciences
492,Orthodontics-Dentistry,1057,Orthodontics-Dentistry
816,Pop Studies - Administration,1057,Pop Studies - Administration
203,Coe-Student Team Proj Cnt,1057,Coe-Student Team Proj Cnt
1015,IA-Baseball,1057,IA-Baseball
575,Umbs Bus Indust & Admin Div,1057,Umbs Bus Indust & Admin Div
737,SRC- Administration,1057,SRC- Administration
393,Coe Eecs-Usl,1057,Coe Eecs-Usl
717,Ethics And Religion,1057,Ethics And Religion
555,Umbs Wm. Davidson Inst.,1057,Umbs Wm. Davidson Inst.
900,Coe Graduate Tuition Program,1057,Coe Graduate Tuition Program
694,Dev Network Services,1057,Dev Network Services
856,SRC-Ds-Ssl,1057,SRC-Ds-Ssl
725,RCGD-Achievement Research,1057,RCGD-Achievement Research
1003,IA-Football,1057,IA-Football
563,SOE-Technology Services,1057,SOE-Technology Services
414,Coe Eecs-Dtm,1057,Coe Eecs-Dtm
865,Observatory Lodge,1057,Observatory Lodge
344,General Surgery Section,1057,General Surgery Section
795,Employment Transition Program,1057,Employment Transition Program
957,GIEU Program,1057,GIEU Program
506,Postgraduate Education-Dentist,1057,Postgraduate Education-Dentist
924,SNRE CILER,1057,SNRE CILER
429,Medical School Clinical Scienc,1057,Medical School Clinical Scienc
267,Orthodontics/Pediatric Dentist,1057,Orthodontics/Pediatric Dentist
762,SRC-Evolution & Human Adap,1057,SRC-Evolution & Human Adap
570,SOE-Eric,1057,SOE-Eric
732,RCGD-Institutions & Policies,1057,RCGD-Institutions & Policies
688,Campus Information Centers,1057,Campus Information Centers
1010,CoE Center for Health Eng,1057,CoE Center for Health Eng
804,Law Legal Practice,1057,Law Legal Practice
642,Center For Clinc Invest & Ther,1057,Center For Clinc Invest & Ther
598,Health Service General Operati,1057,Health Service General Operati
480,"Ctr For Res On Ethn,Cult,&Hlth",1057,"Ctr For Res On Ethn,Cult,&Hlth"
1038,UM Cardiovascular Center,1057,UM Cardiovascular Center
277,Sindecuse Dental Museum,1057,Sindecuse Dental Museum
439,Int Med-Pulmonary/Critical Car,1057,Int Med-Pulmonary/Critical Car
321,Endodontics-Dentistry,1057,Endodontics-Dentistry
1050,ROSS SCH Leadership Initiative,1057,ROSS SCH Leadership Initiative
934,SNRE Corp Environ Mgmt Prgm,1057,SNRE Corp Environ Mgmt Prgm
772,Technology Management Office,1057,Technology Management Office
850,Pediatrics-Intensive Care,1057,Pediatrics-Intensive Care
968,Ross Sch East Asia GMBA,1057,Ross Sch East Asia GMBA
193,Museum of Paleontology,1057,Museum of Paleontology
355,Cnt For Educational Improvemen,1057,Cnt For Educational Improvemen
517,SON-Nurse Managed Clinics,1057,SON-Nurse Managed Clinics
391,Coe Eecs-Ssrl,1057,Coe Eecs-Ssrl
553,Umbs Tauber Man Institute,1057,Umbs Tauber Man Institute
715,Counseling Services,1057,Counseling Services
223,Space Physics Research Lab,1057,Space Physics Research Lab
674,SRC-Cmt-System Programming,1057,SRC-Cmt-System Programming
836,Coe Biomechanics,1057,Coe Biomechanics
798,Merit Network,1057,Merit Network
509,Financial Affairs-Dentistry,1057,Financial Affairs-Dentistry
842,Sea Grant Program,1057,Sea Grant Program
347,Institute For Human Adjustment,1057,Institute For Human Adjustment
680,SRC-Ds-Unit Directors,1057,SRC-Ds-Unit Directors
832,Center For Ergonomics,1057,Center For Ergonomics
788,Sch Of Info-Development,1057,Sch Of Info-Development
670,Off Exec Vp & Chief Fin Office,1057,Off Exec Vp & Chief Fin Office
337,Psych Adult Ambulatory Program,1057,Psych Adult Ambulatory Program
633,Special Plant Units,1057,Special Plant Units
589,Institute Of Fisheries (Space),1057,Institute Of Fisheries (Space)
1029,IA-Men's Basketball,1057,IA-Men's Basketball
471,SON-Student Affairs,1057,SON-Student Affairs
1005,IA-Men's Tennis,1057,IA-Men's Tennis
565,SOE-Combined Program In Ed & P,1057,SOE-Combined Program In Ed & P
727,RCGD-Black Americans,1057,RCGD-Black Americans
593,Mechanical Systems,1057,Mechanical Systems
917,SNRE School Operations,1057,SNRE School Operations
755,Biomolecular Recognition Progr,1057,Biomolecular Recognition Progr
1033,IA-Women's Gymnastics,1057,IA-Women's Gymnastics
455,Um Hospital Capital,1057,Um Hospital Capital
293,Off Aprov Acad & Multict Affai,1057,Off Aprov Acad & Multict Affai
950,SOM Assoc Dean Acad Affairs,1057,SOM Assoc Dean Acad Affairs
617,Initi On Alcohol & Other Drugs,1057,Initi On Alcohol & Other Drugs
669,Staff Benefit To Budget Units,1057,Staff Benefit To Budget Units
713,Michigan Student Assembly,1057,Michigan Student Assembly
551,Umbs Global Programs,1057,Umbs Global Programs
218,COE EECS - ECE  - USL,1057,COE EECS - ECE  - USL
373,ISR-Proposals & Contracts,1057,ISR-Proposals & Contracts
535,All Orgs (Org Security Only),1057,All Orgs (Org Security Only)
986,LSA UG GlobalScholarsProgram,1057,LSA UG GlobalScholarsProgram
265,Prosthodontics,1057,Prosthodontics
427,Other Activities Medical Schoo,1057,Other Activities Medical Schoo
760,SRC-Psid,1057,SRC-Psid
922,CoE EECS-WIMS ERC,1057,CoE EECS-WIMS ERC
878,Treasurer'S Off-Univ Support,1057,Treasurer'S Off-Univ Support
582,Unrestricted Gifts,1057,Unrestricted Gifts
1022,IA-Women's Track & Field,1057,IA-Women's Track & Field
744,SRC-Mtf,1057,SRC-Mtf
679,SRC-Ds-National Field Group,1057,SRC-Ds-National Field Group
561,Computing-Dentistry,1057,Computing-Dentistry
1001,MICHR - Data Coordination,1057,MICHR - Data Coordination
723,ISR-Supplies,1057,ISR-Supplies
712,Michigan Leadership Institute,1057,Michigan Leadership Institute
550,Umbs Off Of Tax Policy Rsrch,1057,Umbs Off Of Tax Policy Rsrch
217,COE EECS - ECE Division,1057,COE EECS - ECE Division
668,Staff Benefits Pool,1057,Staff Benefits Pool
763,SRC-Family Demography,1057,SRC-Family Demography
925,LSA UG: Student Recruitment,1057,LSA UG: Student Recruitment
268,Oral Med/Path/Surgery,1057,Oral Med/Path/Surgery
1041,ROSS SCH Master of Management,1057,ROSS SCH Master of Management
497,Sch Of Info-Faculty Search,1057,Sch Of Info-Faculty Search
703,Secretary Of The University,1057,Secretary Of The University
208,Engineering Administration,1057,Engineering Administration
541,Law Legal Profession Program,1057,Law Legal Profession Program
659,Univ Musical Society,1057,Univ Musical Society
992,SI Research & Administration,1057,SI Research & Administration
1019,IA-Men's Track & Field,1057,IA-Men's Track & Field
579,Mason Trades Department,1057,Mason Trades Department
461,Umbs Dean'S Office,1057,Umbs Dean'S Office
623,Construction Management,1057,Construction Management
